Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
28/12/2017,285,22,0.0,63,1.3,968,-6.2,0.0,0.0,0.0,Winter,No Holiday,Yes
29/12/2017,135,3,0.6,64,0.4,731,-5.4,0.0,0.0,0.0,Winter,No Holiday,Yes
29/12/2017,85,4,0.6,65,0.4,712,-5.2,0.0,0.0,0.0,Winter,No Holiday,Yes
30/12/2017,62,6,-1.1,81,1.0,253,-3.9,0.0,0.0,0.0,Winter,No Holiday,Yes
30/12/2017,333,13,4.0,62,1.0,256,-2.6,0.51,0.0,0.0,Winter,No Holiday,Yes
30/12/2017,337,15,4.3,61,0.7,274,-2.5,0.23,0.0,0.0,Winter,No Holiday,Yes
30/12/2017,345,16,4.1,63,0.7,263,-2.3,0.13,0.0,0.0,Winter,No Holiday,Yes
30/12/2017,64,21,1.8,92,1.1,109,0.6,0.0,0.2,0.0,Winter,No Holiday,Yes
31/12/2017,142,11,0.8,62,2.8,801,-5.6,0.88,0.0,1.1,Winter,Holiday,Yes
31/12/2017,240,17,1.7,30,2.9,2000,-14.0,0.22,0.0,0.0,Winter,Holiday,Yes
31/12/2017,215,18,0.7,31,2.3,2000,-14.5,0.01,0.0,0.0,Winter,Holiday,Yes
01/01/2018,178,2,-3.7,42,0.9,2000,-14.7,0.0,0.0,0.0,Winter,Holiday,Yes
01/01/2018,298,14,3.7,24,2.1,1906,-15.0,1.01,0.0,0.0,Winter,Holiday,Yes
01/01/2018,125,19,-0.1,39,1.3,1911,-12.4,0.0,0.0,0.0,Winter,Holiday,Yes
02/01/2018,69,2,-2.3,62,0.9,1560,-8.6,0.0,0.0,0.0,Winter,No Holiday,Yes
02/01/2018,208,10,-1.4,50,1.9,1355,-10.5,0.38,0.0,0.0,Winter,No Holiday,Yes
02/01/2018,293,12,0.9,29,1.9,1761,-15.1,0.88,0.0,0.0,Winter,No Holiday,Yes
02/01/2018,273,22,-3.4,33,2.4,2000,-17.4,0.0,0.0,0.0,Winter,No Holiday,Yes
03/01/2018,160,0,-4.3,38,1.4,2000,-16.5,0.0,0.0,0.0,Winter,No Holiday,Yes
03/01/2018,67,3,-6.1,45,1.3,1999,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes
03/01/2018,137,6,-6.7,48,2.4,1991,-15.9,0.0,0.0,0.0,Winter,No Holiday,Yes
03/01/2018,670,8,-7.0,49,1.5,1971,-15.9,0.0,0.0,0.0,Winter,No Holiday,Yes
03/01/2018,297,12,-3.4,32,3.1,1706,-17.7,1.02,0.0,0.0,Winter,No Holiday,Yes
03/01/2018,286,15,-1.1,29,2.8,1976,-16.9,0.96,0.0,0.0,Winter,No Holiday,Yes
03/01/2018,431,19,-3.7,41,2.0,2000,-15.0,0.0,0.0,0.0,Winter,No Holiday,Yes
04/01/2018,150,1,-6.9,56,2.3,1994,-14.2,0.0,0.0,0.0,Winter,No Holiday,Yes
04/01/2018,57,3,-7.4,54,1.7,1968,-15.1,0.0,0.0,0.0,Winter,No Holiday,Yes
04/01/2018,302,7,-8.1,51,0.5,1987,-16.4,0.0,0.0,0.0,Winter,No Holiday,Yes
04/01/2018,309,16,-1.4,34,1.8,1719,-15.2,0.3,0.0,0.0,Winter,No Holiday,Yes
04/01/2018,603,18,-2.6,38,1.4,1604,-14.9,0.0,0.0,0.0,Winter,No Holiday,Yes
04/01/2018,417,19,-2.7,39,1.4,1616,-14.7,0.0,0.0,0.0,Winter,No Holiday,Yes
05/01/2018,47,4,-5.1,55,1.7,1266,-12.7,0.0,0.0,0.0,Winter,No Holiday,Yes
05/01/2018,284,21,-3.5,53,0.9,1353,-11.7,0.0,0.0,0.0,Winter,No Holiday,Yes
06/01/2018,176,2,-5.5,56,1.4,1285,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes
06/01/2018,48,5,-6.1,64,1.0,1231,-11.8,0.0,0.0,0.0,Winter,No Holiday,Yes
06/01/2018,204,10,-3.5,39,2.0,1946,-15.4,0.54,0.0,0.0,Winter,No Holiday,Yes
07/01/2018,192,0,-3.8,48,0.7,1574,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes
07/01/2018,162,1,-3.9,51,0.2,1535,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes
07/01/2018,128,2,-4.4,53,0.3,1594,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes
07/01/2018,62,4,-5.1,60,0.7,1377,-11.6,0.0,0.0,0.0,Winter,No Holiday,Yes
07/01/2018,38,6,-5.5,52,0.7,1503,-13.8,0.0,0.0,0.0,Winter,No Holiday,Yes
07/01/2018,331,14,1.9,32,0.7,1368,-13.0,0.41,0.0,0.0,Winter,No Holiday,Yes
07/01/2018,214,22,1.1,40,0.5,1305,-11.0,0.0,0.0,0.0,Winter,No Holiday,Yes
08/01/2018,46,4,1.0,43,0.8,1253,-10.2,0.0,0.0,0.0,Winter,No Holiday,Yes
08/01/2018,127,19,0.9,88,1.6,290,-0.8,0.0,0.0,0.5,Winter,No Holiday,Yes
09/01/2018,281,21,-4.8,59,0.9,2000,-11.6,0.0,0.0,0.0,Winter,No Holiday,Yes
09/01/2018,80,23,-4.9,80,0.7,690,-7.8,0.0,0.0,0.2,Winter,No Holiday,Yes
10/01/2018,40,3,-6.1,70,1.1,2000,-10.6,0.0,0.3,0.8,Winter,No Holiday,Yes
10/01/2018,207,20,-8.9,41,2.3,2000,-19.7,0.0,0.0,0.0,Winter,No Holiday,Yes
10/01/2018,139,23,-10.2,53,3.3,1997,-17.9,0.0,0.0,0.0,Winter,No Holiday,Yes
11/01/2018,152,10,-11.1,46,3.7,1638,-20.4,0.48,0.0,0.0,Winter,No Holiday,Yes
11/01/2018,179,16,-8.2,39,2.8,1807,-19.7,0.63,0.0,0.0,Winter,No Holiday,Yes
12/01/2018,189,7,-15.1,45,0.9,2000,-24.4,0.0,0.0,0.0,Winter,No Holiday,Yes
12/01/2018,140,11,-11.2,31,2.4,1944,-25.0,0.94,0.0,0.0,Winter,No Holiday,Yes
13/01/2018,152,0,-6.6,39,1.6,1930,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes
13/01/2018,145,2,-6.4,40,0.9,2000,-17.8,0.0,0.0,0.0,Winter,No Holiday,Yes
13/01/2018,249,16,-1.2,63,0.9,876,-7.3,0.19,0.0,0.0,Winter,No Holiday,Yes
13/01/2018,167,19,-3.3,76,0.8,633,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes
14/01/2018,149,0,-4.4,81,0.7,414,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes
14/01/2018,111,2,-3.5,78,1.0,444,-6.7,0.0,0.0,0.0,Winter,No Holiday,Yes
14/01/2018,49,6,-4.3,79,1.1,433,-7.4,0.0,0.0,0.0,Winter,No Holiday,Yes
14/01/2018,366,16,5.3,49,1.8,982,-4.5,0.43,0.0,0.0,Winter,No Holiday,Yes
14/01/2018,250,18,4.1,53,1.3,1132,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes
15/01/2018,321,20,3.7,58,1.3,474,-3.8,0.0,0.0,0.0,Winter,No Holiday,Yes
16/01/2018,207,1,1.2,64,0.7,455,-4.8,0.0,0.0,0.0,Winter,No Holiday,Yes
16/01/2018,51,4,0.8,65,0.7,502,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes
16/01/2018,318,7,1.1,69,0.6,418,-3.9,0.0,0.0,0.0,Winter,No Holiday,Yes
16/01/2018,276,14,6.5,43,0.8,468,-5.2,0.52,0.0,0.0,Winter,No Holiday,Yes
16/01/2018,592,18,4.9,59,1.4,427,-2.4,0.0,0.0,0.0,Winter,No Holiday,Yes
17/01/2018,204,0,3.5,62,0.4,382,-3.1,0.0,0.0,0.0,Winter,No Holiday,Yes
17/01/2018,183,1,3.3,64,0.4,339,-2.8,0.0,0.0,0.0,Winter,No Holiday,Yes
17/01/2018,75,3,3.0,67,0.8,297,-2.5,0.0,0.0,0.0,Winter,No Holiday,Yes
17/01/2018,270,11,6.0,51,1.0,436,-3.3,0.55,0.0,0.0,Winter,No Holiday,Yes
17/01/2018,310,12,8.1,51,1.4,367,-1.4,0.75,0.0,0.0,Winter,No Holiday,Yes
17/01/2018,360,19,4.2,68,2.4,446,-1.1,0.0,0.0,0.0,Winter,No Holiday,Yes
18/01/2018,137,2,3.3,73,1.2,288,-1.0,0.0,0.0,0.0,Winter,No Holiday,Yes
18/01/2018,68,5,2.6,82,2.0,229,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes
18/01/2018,537,8,1.1,86,1.2,197,-0.9,0.0,0.0,0.0,Winter,No Holiday,Yes
19/01/2018,207,1,0.0,43,1.7,1250,-11.1,0.0,0.0,0.0,Winter,No Holiday,Yes
19/01/2018,93,3,-0.6,43,1.7,1316,-11.6,0.0,0.0,0.0,Winter,No Holiday,Yes
19/01/2018,648,8,-2.5,50,1.0,1281,-11.5,0.0,0.0,0.0,Winter,No Holiday,Yes
19/01/2018,283,11,2.2,20,0.6,1794,-18.5,0.83,0.0,0.0,Winter,No Holiday,Yes
19/01/2018,381,15,5.4,25,2.4,1686,-13.1,0.9,0.0,0.0,Winter,No Holiday,Yes
19/01/2018,331,21,0.5,52,0.8,1595,-8.2,0.0,0.0,0.0,Winter,No Holiday,Yes
20/01/2018,258,1,-0.9,64,0.4,1273,-6.8,0.0,0.0,0.0,Winter,No Holiday,Yes
20/01/2018,285,11,3.7,59,1.8,978,-3.5,0.51,0.0,0.0,Winter,No Holiday,Yes
20/01/2018,325,12,5.3,55,2.6,904,-3.0,0.85,0.0,0.0,Winter,No Holiday,Yes
20/01/2018,356,13,6.3,55,3.0,792,-2.0,0.85,0.0,0.0,Winter,No Holiday,Yes
20/01/2018,377,17,5.7,53,1.8,276,-3.1,0.22,0.0,0.0,Winter,No Holiday,Yes
21/01/2018,73,4,-2.3,47,0.7,984,-12.1,0.0,0.0,0.0,Winter,No Holiday,Yes
21/01/2018,61,7,-3.2,54,1.2,1113,-11.2,0.0,0.0,0.0,Winter,No Holiday,Yes
21/01/2018,396,16,4.7,17,2.1,2000,-18.3,0.55,0.0,0.0,Winter,No Holiday,Yes
21/01/2018,295,18,2.5,24,2.0,2000,-16.0,0.02,0.0,0.0,Winter,No Holiday,Yes
21/01/2018,207,22,-0.3,32,0.7,2000,-15.0,0.0,0.0,0.0,Winter,No Holiday,Yes
22/01/2018,171,0,-0.2,30,0.4,2000,-15.7,0.0,0.0,0.0,Winter,No Holiday,Yes
22/01/2018,683,8,-0.7,32,0.5,1991,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes
22/01/2018,365,9,0.1,33,0.8,1901,-14.3,0.06,0.0,0.0,Winter,No Holiday,Yes
22/01/2018,277,11,2.4,27,0.9,1796,-14.7,0.47,0.0,0.0,Winter,No Holiday,Yes
22/01/2018,63,15,3.6,69,1.8,655,-1.5,0.17,0.0,0.0,Winter,No Holiday,Yes
22/01/2018,43,17,1.3,93,1.2,81,0.2,0.03,0.0,0.2,Winter,No Holiday,Yes
22/01/2018,170,22,-3.2,81,3.9,492,-6.0,0.0,0.0,1.0,Winter,No Holiday,Yes
22/01/2018,139,23,-4.2,79,2.9,554,-7.3,0.0,0.0,1.0,Winter,No Holiday,Yes
23/01/2018,44,5,-10.5,46,3.0,2000,-19.9,0.0,0.0,1.0,Winter,No Holiday,Yes
23/01/2018,423,8,-13.0,41,4.0,2000,-23.5,0.0,0.0,1.0,Winter,No Holiday,Yes
23/01/2018,145,21,-13.2,49,4.1,2000,-21.6,0.0,0.0,0.9,Winter,No Holiday,Yes
23/01/2018,106,23,-14.3,38,4.0,2000,-25.5,0.0,0.0,0.9,Winter,No Holiday,Yes
24/01/2018,90,10,-14.5,24,4.6,1902,-30.6,0.61,0.0,0.9,Winter,No Holiday,Yes
24/01/2018,140,13,-12.0,25,6.0,1887,-28.0,1.27,0.0,0.9,Winter,No Holiday,Yes
24/01/2018,125,14,-11.1,26,3.8,1980,-26.8,1.25,0.0,0.8,Winter,No Holiday,Yes
24/01/2018,203,17,-11.8,26,3.5,2000,-27.4,0.39,0.0,0.7,Winter,No Holiday,Yes
24/01/2018,132,21,-14.7,40,3.2,1933,-25.3,0.0,0.0,0.7,Winter,No Holiday,Yes
24/01/2018,82,23,-15.7,43,3.6,2000,-25.4,0.0,0.0,0.7,Winter,No Holiday,Yes
25/01/2018,78,0,-15.9,43,3.8,2000,-25.6,0.0,0.0,0.7,Winter,No Holiday,Yes
25/01/2018,68,1,-16.1,42,2.2,2000,-26.0,0.0,0.0,0.7,Winter,No Holiday,Yes
25/01/2018,60,2,-16.0,42,1.3,2000,-25.9,0.0,0.0,0.7,Winter,No Holiday,Yes
25/01/2018,32,3,-16.0,40,1.9,2000,-26.5,0.0,0.0,0.7,Winter,No Holiday,Yes
25/01/2018,349,8,-16.4,32,3.3,2000,-29.2,0.01,0.0,0.6,Winter,No Holiday,Yes
25/01/2018,152,16,-9.6,31,2.6,1973,-23.6,0.66,0.0,0.5,Winter,No Holiday,Yes
25/01/2018,170,17,-10.9,32,4.0,2000,-24.4,0.28,0.0,0.5,Winter,No Holiday,Yes
25/01/2018,178,19,-12.7,33,3.7,2000,-25.6,0.0,0.0,0.5,Winter,No Holiday,Yes
25/01/2018,113,22,-14.6,35,2.5,2000,-26.7,0.0,0.0,0.5,Winter,No Holiday,Yes
26/01/2018,93,1,-15.3,34,1.7,2000,-27.6,0.0,0.0,0.5,Winter,No Holiday,Yes
26/01/2018,54,2,-15.6,33,2.2,2000,-28.2,0.0,0.0,0.5,Winter,No Holiday,Yes
26/01/2018,24,4,-16.4,36,1.5,2000,-28.0,0.0,0.0,0.5,Winter,No Holiday,Yes
26/01/2018,64,6,-17.4,40,1.6,2000,-27.7,0.0,0.0,0.5,Winter,No Holiday,Yes
26/01/2018,142,7,-17.5,38,3.4,2000,-28.4,0.0,0.0,0.5,Winter,No Holiday,Yes
26/01/2018,149,9,-17.5,37,3.8,1941,-28.7,0.21,0.0,0.5,Winter,No Holiday,Yes
26/01/2018,171,19,-13.2,33,2.4,1863,-26.1,0.0,0.0,0.3,Winter,No Holiday,Yes
26/01/2018,108,22,-14.6,40,1.8,1746,-25.2,0.0,0.0,0.3,Winter,No Holiday,Yes
27/01/2018,75,2,-15.3,43,0.6,1867,-25.0,0.0,0.0,0.3,Winter,No Holiday,Yes
27/01/2018,33,6,-15.3,47,0.7,1921,-24.0,0.0,0.0,0.3,Winter,No Holiday,Yes
27/01/2018,57,7,-15.7,53,1.3,1629,-23.1,0.0,0.0,0.3,Winter,No Holiday,Yes
27/01/2018,192,15,-3.7,26,2.2,1739,-20.4,1.04,0.0,0.0,Winter,No Holiday,Yes
27/01/2018,162,18,-6.6,31,3.0,1988,-20.9,0.06,0.0,0.0,Winter,No Holiday,Yes
27/01/2018,117,20,-7.6,36,1.7,1858,-20.1,0.0,0.0,0.0,Winter,No Holiday,Yes
27/01/2018,103,23,-7.6,42,1.2,1760,-18.3,0.0,0.0,0.0,Winter,No Holiday,Yes
28/01/2018,72,2,-7.8,51,1.9,1627,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes
28/01/2018,217,15,-1.9,23,4.3,2000,-20.3,0.7,0.0,0.0,Winter,No Holiday,Yes
28/01/2018,105,22,-7.9,40,2.5,1997,-19.1,0.0,0.0,0.0,Winter,No Holiday,Yes
29/01/2018,80,0,-9.3,45,0.7,1976,-19.0,0.0,0.0,0.0,Winter,No Holiday,Yes
29/01/2018,27,3,-9.8,43,2.8,1963,-20.0,0.0,0.0,0.0,Winter,No Holiday,Yes
29/01/2018,231,7,-11.1,37,1.6,2000,-22.9,0.0,0.0,0.0,Winter,No Holiday,Yes
29/01/2018,217,9,-10.8,34,2.9,1975,-23.6,0.17,0.0,0.0,Winter,No Holiday,Yes
29/01/2018,166,11,-8.1,24,3.6,1761,-25.1,0.91,0.0,0.0,Winter,No Holiday,Yes
